id,tema,created_at,subtema,pergunta,resposta,referencia_cientifica,ordem,referencia_url
64245bc8-73b3-49a6-b04b-6d263154e515,menopausa,"2026-03-08 20:22:16.446111+00","Menopausa Precoce","É normal ter menopausa antes dos 40?","Afeta cerca de 1% das mulheres. Pode ter causas genéticas, autoimunes ou iatrogénicas. Requer avaliação médica.","European Society of Human Reproduction (ESHRE), 2016",29,
d3063a8e-6c1a-4f36-97ab-eb3247399c90,menopausa,"2026-03-08 20:22:16.446111+00","Menopausa Precoce","Posso engravidar na perimenopausa?","Sim, enquanto houver ovulação é possível engravidar. Contracepção deve ser mantida até confirmação da menopausa.","FSRH Clinical Guideline - Contraception for Women Aged Over 40, 2017",30,
05515068-321c-48ad-aa45-d338e25cda50,menopausa,"2026-03-08 20:22:16.446111+00","Tratamento Hormonal","Quais são os riscos da terapia hormonal?","Depende do tipo, dose, via de administração e perfil da paciente. Pode aumentar risco de trombose e cancro da mama em alguns casos.","WHI Study - JAMA, 2002; reavaliações 2017-2022",31,
c23816f6-376b-4daa-afc2-4295db0b696a,menopausa,"2026-03-08 20:22:16.446111+00","Tratamento Hormonal","Exercício físico ajuda na menopausa?","Sim. Reduz sintomas vasomotores, melhora humor, sono, saúde óssea e cardiovascular.","Daley et al. - Cochrane Review, 2014",32,
f055cc5a-071e-4fe1-bc1c-3b75479d2134,menopausa,"2026-03-08 20:22:16.446111+00","Tratamento Hormonal","Secura vaginal na menopausa tem tratamento?","Sim. Hidratantes vaginais, estrogénio local em baixa dose ou terapia com laser são opções eficazes.","NAMS - Position Statement on Genitourinary Syndrome, 2020",33,
a5ba5499-eb78-4975-9cd4-e44a8e70918b,menopausa,"2026-03-08 20:22:16.446111+00",Complicações,"Porque é que engordo na menopausa?","Alterações hormonais redistribuem gordura para a zona abdominal. Metabolismo basal diminui. Exercício e dieta equilibrada ajudam.","Davis et al. - Nature Reviews Endocrinology, 2012",34,
dcec153c-1a85-4216-8c14-c6ddc297ed38,menopausa,"2026-03-08 20:22:16.446111+00",Complicações,"Menopausa causa queda de cabelo?","A diminuição de estrogénio pode contribuir para afinamento capilar. Excluir outras causas (tiróide, ferro) é importante.","Mirmirani - Dermatologic Clinics, 2013",35,
6e0a9457-6fb9-4e9d-8168-00706ced140e,emergentes,"2026-03-08 20:22:16.446111+00","Gripe Aviária","O que é a gripe aviária e como se transmite?","Infeção por vírus influenza A (H5N1) que afeta aves. Transmissão a humanos é rara e ocorre por contacto direto com aves infetadas.","OMS - Avian Influenza Fact Sheet, 2024",36,
ac34c090-c73b-46e2-8535-2330b9fd21e6,emergentes,"2026-03-08 20:22:16.446111+00","Gripe Aviária","A gripe aviária pode passar para humanos?","Sim, mas é raro. Não há evidência de transmissão sustentada entre humanos. A vigilância epidemiológica é contínua.","ECDC - Risk Assessment H5N1, 2024",37,
34bd7656-849e-42cb-b344-ee539bf6f286,emergentes,"2026-03-08 20:22:16.446111+00","Gripe Aviária","É seguro comer frango com gripe aviária?","Sim, desde que bem cozinhado (>70°C). O vírus é destruído pelo calor. Não há risco documentado por consumo de carne cozida.","EFSA - Scientific Opinion on Avian Influenza, 2023",38,
2d8568cf-e70b-4623-8e84-d30c6eac9893,emergentes,"2026-03-08 20:22:16.446111+00","Gripe Aviária","Pode haver nova pandemia em 2025?","O risco pandémico existe sempre. A OMS monitoriza mutações do H5N1. Preparação e vigilância são fundamentais.","OMS - Pandemic Preparedness Plan, 2024",39,
1b48713e-52de-4252-9266-b1da961f768c,emergentes,"2026-03-08 20:22:16.446111+00","Doenças Tropicais","Posso apanhar dengue em Portugal?","Casos autóctones são raros mas possíveis, devido à presença do mosquito Aedes. A maioria dos casos são importados.","DGS - Plano de Contingência para Dengue, 2023",40,
d5f88c87-cca4-4d4d-b39c-d89d48fabba4,emergentes,"2026-03-08 20:22:16.446111+00","Doenças Tropicais","Há vacina para a dengue em Portugal?","Existe vacina aprovada (Dengvaxia, Qdenga) mas não está no plano nacional de vacinação. Indicada para viajantes em zonas endémicas.","EMA - Qdenga EPAR, 2022",41,
d2465c81-eaf1-44ff-bcfe-68463b9436e4,emergentes,"2026-03-08 20:22:16.446111+00",Pós-Covid,"Como saber se tenho long covid?","Sintomas persistentes (>12 semanas) após infeção: fadiga, nevoeiro cerebral, dor, falta de ar. Diagnóstico por exclusão.","NICE - COVID-19 rapid guideline: managing long-term effects, 2022",42,
e5ce0a6d-a6a4-4875-b2c8-67ddc990620a,emergentes,"2026-03-08 20:22:16.446111+00",Pós-Covid,"Quais são os sintomas de long covid?","Fadiga extrema, dificuldade cognitiva, dispneia, dores musculares, perturbações do sono, ansiedade. Variam muito entre pacientes.","Davis et al. - Nature Medicine, 2023",43,
c573103b-41c6-4cd4-b6a7-981042fe5c33,emergentes,"2026-03-08 20:22:16.446111+00","Ambiente e Saúde","O que são microplásticos no sangue?","Partículas plásticas <5mm detetadas na corrente sanguínea. O impacto na saúde ainda está em estudo, mas preocupa a comunidade científica.","Leslie et al. - Environment International, 2022",44,
6ba7b386-34ac-4712-9496-8fff1fafa22c,emergentes,"2026-03-08 20:22:16.446111+00","Ambiente e Saúde","A poluição do ar causa cancro?","Sim. A poluição atmosférica é classificada como carcinogéneo do Grupo 1 pela IARC, especialmente para cancro do pulmão.","IARC - Outdoor Air Pollution Monograph 161, 2016",45,
12d3d677-135e-4f64-8257-f58f8c60ace4,emergentes,"2026-03-08 20:22:16.446111+00","Ambiente e Saúde","O que são bactérias resistentes a antibióticos?","Bactérias que desenvolveram mecanismos contra antibióticos. O uso excessivo e inadequado acelera esta resistência.","OMS - Global Action Plan on Antimicrobial Resistance, 2015",46,
