id,term,title,classification,source,url,created_at,keyword_id,eixo,explicacao,data_publicacao
31b863ec-0ed1-4a9b-9b81-f8ceb5f453d3,TDAH,"Açúcar causa TDAH em crianças",FALSO,"Observador Fact-Checks",https://observador.pt/factchecks/acucar-tdah,"2026-03-08 11:22:32.086121+00",f882429f-2743-4121-bf34-c4d983fb31e5,,,
3b32e7c5-0cb9-4632-b0e2-921ae10332d1,ultraprocessados,"Alimentos ultraprocessados são seguros porque passam controlo",ENGANADOR,Polígrafo,https://poligrafo.sapo.pt/fact-check/ultraprocessados-seguros,"2026-03-08 11:22:32.086121+00",45517adf-5e93-468b-9398-952f410e7eac,,,
e1dfadb4-5cfb-4eb1-a440-68399a87911b,ultraprocessados,"Comer ultraprocessados causa cancro imediato",IMPRECISO,"Science Feedback",https://science.feedback.org/ultraprocessados-cancro,"2026-03-08 11:22:32.086121+00",45517adf-5e93-468b-9398-952f410e7eac,,,
237a20e7-5a6b-4d7f-a755-b94a3e8201b2,microplásticos,"Microplásticos na água engarrafada são inofensivos","SEM EVIDÊNCIA","Observador Fact-Checks",https://observador.pt/factchecks/microplasticos-agua,"2026-03-08 11:22:32.086121+00",6f66a12c-919b-458e-bbba-02e776839761,,,
46833c81-4d70-4b4d-9009-b20a57f5f4e3,microplásticos,"Ferver água remove todos os microplásticos",ENGANADOR,Polígrafo,https://poligrafo.sapo.pt/fact-check/ferver-microplasticos,"2026-03-08 11:22:32.086121+00",6f66a12c-919b-458e-bbba-02e776839761,,,
8635b92a-2f69-4ae8-90b2-fcc7211ed2cd,menopausa,"Menopausa causa obrigatoriamente depressão",IMPRECISO,Polígrafo,https://poligrafo.sapo.pt/fact-check/menopausa-depressao,"2026-03-08 11:22:32.086121+00",aa13a813-d683-45ed-afb7-56f81baac397,,,
543d0198-e835-4138-8ce6-bceda53db571,menopausa,"Fitoestrogénios substituem terapia hormonal","SEM EVIDÊNCIA","Science Feedback",https://science.feedback.org/fitoestrogenios-th,"2026-03-08 11:22:32.086121+00",aa13a813-d683-45ed-afb7-56f81baac397,,,
b74d62b3-0826-4d41-bc61-ab7269bc231b,"gripe aviária","Gripe aviária H5N1 transmite-se facilmente entre humanos",FALSO,Polígrafo,https://poligrafo.sapo.pt/fact-check/h5n1-transmissao,"2026-03-08 11:22:32.086121+00",182b5f68-1f50-4ffd-8013-db61fd005db2,,,
e6fb3659-2012-4610-a609-5c909ffbc505,"long covid","Long COVID é psicossomático e não real",FALSO,"Observador Fact-Checks",https://observador.pt/factchecks/long-covid-real,"2026-03-08 11:22:32.086121+00",a3cd6c3d-a5d6-4ace-aa9b-5c203a2991e2,,,
f1760193-05f1-4b96-9382-fe254e51113b,"resistência antibióticos","Tomar probióticos previne resistência a antibióticos","SEM EVIDÊNCIA","Science Feedback",https://science.feedback.org/probioticos-resistencia,"2026-03-08 11:22:32.086121+00",0fd64329-5c27-472b-8408-d6c3be1f58a7,,,
c43e293b-3215-45b2-be58-1489f6b65c3e,"gripe aviária H5N1","Gripe aviária transmite-se pelo consumo de ovos? É falso",FALSO,Polígrafo,https://poligrafo.sapo.pt/fact-check/gripe-aviaria-ovos/,"2026-03-08 12:35:30.297493+00",182b5f68-1f50-4ffd-8013-db61fd005db2,,,
eb62fea8-d8d4-412b-a840-edcca46adb3d,ultraprocessados,"Ultraprocessados são tão viciantes como tabaco? Análise",ENGANADOR,"Observador Fact Check",https://observador.pt/factchecks/ultraprocessados-vicio/,"2026-03-08 12:35:30.297493+00",45517adf-5e93-468b-9398-952f410e7eac,,,
e12dae00-432b-4ec0-be20-a9400e6eb570,"dieta cetogénica","Dieta keto cura diabetes tipo 2? Sem evidência suficiente","SEM EVIDÊNCIA","Health Feedback",https://science.feedback.org/review/keto-diabetes/,"2026-03-08 12:35:30.297493+00",56a9f29d-5637-4969-a1a3-89484a266f46,,,
050e0654-9d51-43cb-98a4-89083522e8b6,ansiedade,"Redes sociais são a principal causa de ansiedade nos jovens?",IMPRECISO,Polígrafo,https://poligrafo.sapo.pt/fact-check/redes-sociais-ansiedade/,"2026-03-08 12:35:30.297493+00",91a7df8f-676d-4053-8e62-f97b5df4ba0f,,,
3f111322-5e4b-4c76-be61-3a7d6b1506b4,"long covid","Long covid é apenas psicológico? Estudos contradizem",FALSO,"Observador Fact Check",https://observador.pt/factchecks/long-covid-psicologico/,"2026-03-08 12:35:30.297493+00",a3cd6c3d-a5d6-4ace-aa9b-5c203a2991e2,,,
d6983611-2984-466a-ab08-2e2385a004c2,"menopausa sintomas","Menopausa pode ser prevenida com alimentação? É enganador",ENGANADOR,Polígrafo,https://poligrafo.sapo.pt/fact-check/menopausa-alimentacao/,"2026-03-08 12:35:30.297493+00",aa13a813-d683-45ed-afb7-56f81baac397,,,
8fbe0e53-8150-4751-a363-2efa31594db5,"resistência antibióticos","Antibióticos naturais substituem os convencionais?",FALSO,"Science Feedback",https://science.feedback.org/review/natural-antibiotics/,"2026-03-08 12:35:30.297493+00",0fd64329-5c27-472b-8408-d6c3be1f58a7,,,
729d64cb-c1fc-4331-9363-dfd9b4ee3afc,"alimentação plant-based","Dieta vegana causa défices nutricionais graves?",IMPRECISO,"Observador Fact Check",https://observador.pt/factchecks/dieta-vegana-defices/,"2026-03-08 12:35:30.297493+00",41e9c9a7-ac28-422c-bcd3-d801e8558779,,,
07b3c5bc-e1b6-450f-97d3-1b8e3ed45404,"dengue europa","Dengue vai tornar-se endémica na Europa? Análise científica",IMPRECISO,Polígrafo,https://poligrafo.sapo.pt/fact-check/dengue-endemica-europa/,"2026-03-08 12:35:30.297493+00",9841bbff-93ed-4fcf-b96c-4d4b659e9912,,,
b614c11b-23da-494a-b401-589fed5d58ac,burnout,"Burnout é uma doença? A OMS não classifica assim",ENGANADOR,"Observador Fact Check",https://observador.pt/factchecks/burnout-doenca-oms/,"2026-03-08 12:35:30.297493+00",e39430ea-a287-4d68-9848-3558a4a4ae30,,,
502dbbd2-b4da-4383-bf97-b9a56407d6f8,"microplásticos sangue","Microplásticos no sangue causam cancro? Sem evidência directa","SEM EVIDÊNCIA","Science Feedback",https://science.feedback.org/review/microplastics-cancer/,"2026-03-08 12:35:30.297493+00",6f66a12c-919b-458e-bbba-02e776839761,,,
39493f56-3e29-45e3-8f06-997ad795b710,"TDAH adulto","TDAH em adultos é sobrediagnosticado? Realidade complexa",IMPRECISO,Polígrafo,https://poligrafo.sapo.pt/fact-check/tdah-adultos-sobrediagnostico/,"2026-03-08 12:35:30.297493+00",f882429f-2743-4121-bf34-c4d983fb31e5,,,
546d7463-4ec8-422d-9468-8bfd082fd617,"obesidade infantil","Açúcar é o único responsável pela obesidade infantil?",ENGANADOR,"Observador Fact Check",https://observador.pt/factchecks/acucar-obesidade-infantil/,"2026-03-08 12:35:30.297493+00",1b5fc07f-58fb-4a83-83a1-50c11c7ceab9,,,
fdc8652e-f665-4981-8d28-0354c5e46a8f,"vírus nipah","Vírus Nipah tem taxa de mortalidade de 75%? É impreciso",IMPRECISO,Polígrafo,https://poligrafo.sapo.pt/fact-check/nipah-mortalidade/,"2026-03-08 12:35:30.297493+00",1af7e5c8-8dd1-467b-acf4-fcd1b97d2823,,,
a2bb601a-6050-44e2-97b0-d875b6d2b235,"sarampo surto","Vacina do sarampo causa autismo? Completamente falso",FALSO,"Observador Fact Check",https://observador.pt/factchecks/vacina-sarampo-autismo/,"2026-03-08 12:35:30.297493+00",562f3ed1-3f6e-45fe-b175-7a10d9e86c4f,,,
